dataset,pattern_source,base_variable,physical_symbol,physical_description,engine_area,interpretation
FD003,notas/hallazgos/FD003/hallazgo_clusters_fd003.txt,sensor_9,Nc,Physical core speed.,core spool,"Clusters exploratorios con una sola condicion operativa; diferencias en core speed, corrected core speed y presion HPC sugieren patrones de degradacion distintos."
FD003,notas/hallazgos/FD003/hallazgo_clusters_fd003.txt,sensor_14,NRc,Corrected core speed.,core spool,"Clusters exploratorios con una sola condicion operativa; diferencias en core speed, corrected core speed y presion HPC sugieren patrones de degradacion distintos."
FD003,notas/hallazgos/FD003/hallazgo_clusters_fd003.txt,sensor_7,P30,Total pressure at HPC outlet.,HPC,"Clusters exploratorios con una sola condicion operativa; diferencias en core speed, corrected core speed y presion HPC sugieren patrones de degradacion distintos."
FD003,notas/FD003/fd003_internal_validation_evaluation_interpretation.txt,sensor_7,P30,Total pressure at HPC outlet.,HPC,"Features fault-sensitive calculadas sin mirar el futuro; se usan como senales de dinamica de degradacion, no como etiquetas de falla."
FD003,notas/FD003/fd003_internal_validation_evaluation_interpretation.txt,sensor_9,Nc,Physical core speed.,core spool,"Features fault-sensitive calculadas sin mirar el futuro; se usan como senales de dinamica de degradacion, no como etiquetas de falla."
FD003,notas/FD003/fd003_internal_validation_evaluation_interpretation.txt,sensor_12,phi,Ratio of fuel flow to Ps30.,fuel/HPC interaction,"Features fault-sensitive calculadas sin mirar el futuro; se usan como senales de dinamica de degradacion, no como etiquetas de falla."
FD003,notas/FD003/fd003_internal_validation_evaluation_interpretation.txt,sensor_14,NRc,Corrected core speed.,core spool,"Features fault-sensitive calculadas sin mirar el futuro; se usan como senales de dinamica de degradacion, no como etiquetas de falla."
FD003,notas/FD003/fd003_internal_validation_evaluation_interpretation.txt,sensor_15,BPR,Bypass ratio.,bypass/fan,"Features fault-sensitive calculadas sin mirar el futuro; se usan como senales de dinamica de degradacion, no como etiquetas de falla."
FD004,notas/hallazgos/FD004/hallazgo_fd004_conditions_fault_patterns.txt,sensor_11,Ps30,Static pressure at HPC outlet.,HPC,"Al normalizar por condicion reaparecen sensores informativos ligados a presion/temperatura HPC, turbina, bleed y core speed."
FD004,notas/hallazgos/FD004/hallazgo_fd004_conditions_fault_patterns.txt,sensor_4,T50,Total temperature at LPT outlet.,turbine/LPT,"Al normalizar por condicion reaparecen sensores informativos ligados a presion/temperatura HPC, turbina, bleed y core speed."
FD004,notas/hallazgos/FD004/hallazgo_fd004_conditions_fault_patterns.txt,sensor_17,htBleed,Bleed enthalpy.,bleed system,"Al normalizar por condicion reaparecen sensores informativos ligados a presion/temperatura HPC, turbina, bleed y core speed."
FD004,notas/hallazgos/FD004/hallazgo_fd004_conditions_fault_patterns.txt,sensor_3,T30,Total temperature at HPC outlet.,HPC,"Al normalizar por condicion reaparecen sensores informativos ligados a presion/temperatura HPC, turbina, bleed y core speed."
FD004,notas/hallazgos/FD004/hallazgo_fd004_conditions_fault_patterns.txt,sensor_2,T24,Total temperature at LPC outlet.,LPC,"Al normalizar por condicion reaparecen sensores informativos ligados a presion/temperatura HPC, turbina, bleed y core speed."
FD004,notas/hallazgos/FD004/hallazgo_fd004_conditions_fault_patterns.txt,sensor_9,Nc,Physical core speed.,core spool,"Al normalizar por condicion reaparecen sensores informativos ligados a presion/temperatura HPC, turbina, bleed y core speed."
FD004,notas/hallazgos/FD004/hallazgo_fd004_conditions_fault_patterns.txt,sensor_12,phi,Ratio of fuel flow to Ps30.,fuel/HPC interaction,"Clusters residuales de FD004 muestran trayectorias distintas en fuel/HPC, bypass ratio y presion HPC; lectura exploratoria, no etiqueta supervisada."
FD004,notas/hallazgos/FD004/hallazgo_fd004_conditions_fault_patterns.txt,sensor_15,BPR,Bypass ratio.,bypass/fan,"Clusters residuales de FD004 muestran trayectorias distintas en fuel/HPC, bypass ratio y presion HPC; lectura exploratoria, no etiqueta supervisada."
FD004,notas/hallazgos/FD004/hallazgo_fd004_conditions_fault_patterns.txt,sensor_7,P30,Total pressure at HPC outlet.,HPC,"Clusters residuales de FD004 muestran trayectorias distintas en fuel/HPC, bypass ratio y presion HPC; lectura exploratoria, no etiqueta supervisada."
