category,path,description,used_for,reproducible_by,notes
archive_notebook,notebooks/conclusion/archive/01_conclusion_final_backup_before_calibration_v01.ipynb,Historical conclusion notebook backup.,Historical traceability only.,Not used for final reproduction.,Historical backup; outputs preserved; not a source of final metrics.
archive_notebook,notebooks/conclusion/archive/notebook_conclusion_final_actualizado_backup_pre_v03.ipynb,Historical conclusion notebook backup.,Historical traceability only.,Not used for final reproduction.,Historical backup; outputs preserved; not a source of final metrics.
archive_notebook,notebooks/conclusion/archive/notebook_conclusion_final_v03.ipynb,Notebook evidence for model development or final reporting.,Historical traceability only.,Not used for final reproduction.,Historical backup; outputs preserved; not a source of final metrics.
figure,conclusion/figures/physical_feature_importance_top_sensors.png,Final conclusion figure: physical_feature_importance_top_sensors.png.,Report/poster visual support.,python conclusion/build_physical_operational_artifacts.py or python conclusion/build_physical_area_summary.py,
figure,conclusion/figures/physical_importance_by_engine_area.png,Final conclusion figure: physical_importance_by_engine_area.png.,Report/poster visual support.,python conclusion/build_physical_operational_artifacts.py or python conclusion/build_physical_area_summary.py,
figure,conclusion/figures/physical_perturbation_sensitivity_top_sensors.png,Final conclusion figure: physical_perturbation_sensitivity_top_sensors.png.,Report/poster visual support.,python conclusion/build_physical_operational_artifacts.py or python conclusion/build_physical_area_summary.py,
final_script,conclusion/build_conclusion_artifacts.py,Builds final conclusion artifacts.,"Regenerate model, metric, RUL-bin and maintenance summaries.",python conclusion/build_conclusion_artifacts.py,
final_script,conclusion/build_physical_area_summary.py,Builds physical summaries by engine area.,Aggregate physical importance and sensitivity by engine area.,python conclusion/build_physical_area_summary.py,
final_script,conclusion/build_physical_operational_artifacts.py,Builds physical-operational interpretation artifacts.,"Regenerate sensor dictionary, grouped importance, perturbation sensitivity and physical links.",python conclusion/build_physical_operational_artifacts.py,Preserves existing note/notebook outputs.
final_script,predict_final.py,Executable final for all subset predictions.,Generate final prediction CSVs.,python predict_final.py --subset all --output-dir predictions/final_executable --include-diagnostics,
final_script,scripts/smoke_test_final.py,Lightweight final delivery smoke test.,"Check final files, imports, CSV readability and script compilation.",python scripts/smoke_test_final.py,Does not execute notebooks or model searches.
maintenance_artifact,conclusion/maintenance_decision_summary.csv,Conclusion CSV artifact: maintenance_decision_summary.csv.,Final reporting and traceability.,See final scripts listed in this manifest.,
maintenance_artifact,conclusion/maintenance_priority_ranking.csv,Conclusion CSV artifact: maintenance_priority_ranking.csv.,Final reporting and traceability.,See final scripts listed in this manifest.,
metric_artifact,conclusion/final_conclusion_payload.json,Conclusion JSON payload: final_conclusion_payload.json.,Structured final reporting metadata.,See final scripts listed in this manifest.,
metric_artifact,conclusion/final_metric_summary.csv,Conclusion CSV artifact: final_metric_summary.csv.,Final reporting and traceability.,See final scripts listed in this manifest.,
metric_artifact,conclusion/final_model_summary.csv,Conclusion CSV artifact: final_model_summary.csv.,Final reporting and traceability.,See final scripts listed in this manifest.,
metric_artifact,conclusion/final_rul_bin_metrics.csv,Conclusion CSV artifact: final_rul_bin_metrics.csv.,Final reporting and traceability.,See final scripts listed in this manifest.,
model_config,configs/FD001/fd001_best_model_config.json,FD001 final model config.,"Trace final preprocessing, model family and hyperparameters.",Generated by final modeling workflow or retained final config.,Do not change model selection or hyperparameters.
model_config,configs/FD002/fd002_best_model_config.json,FD002 final model config.,"Trace final preprocessing, model family and hyperparameters.",Generated by final modeling workflow or retained final config.,Do not change model selection or hyperparameters.
model_config,configs/FD003/fd003_final_candidate_config.json,FD003 final model config.,"Trace final preprocessing, model family and hyperparameters.",Generated by final modeling workflow or retained final config.,Do not change model selection or hyperparameters.
model_config,configs/FD004/fd004_best_model_config.json,FD004 final model config.,"Trace final preprocessing, model family and hyperparameters.",Generated by final modeling workflow or retained final config.,Do not change model selection or hyperparameters.
note,notas/guia_informe_final.txt,Final delivery supporting note or index.,Report writing and traceability.,Maintained manually or generated by final scripts.,
note,notas/hallazgos/FD003/hallazgo_clusters_fd003.txt,Final delivery supporting note or index.,Report writing and traceability.,Maintained manually or generated by final scripts.,
note,notas/hallazgos/FD004/hallazgo_fd004_conditions_fault_patterns.txt,Final delivery supporting note or index.,Report writing and traceability.,Maintained manually or generated by final scripts.,
note,notas/indice_notas_final.txt,Final delivery supporting note or index.,Report writing and traceability.,Maintained manually or generated by final scripts.,
note,notas/interpretacion_fisica_operativa.txt,Final delivery supporting note or index.,Report writing and traceability.,Maintained manually or generated by final scripts.,
note,notas/resumen_final_tp.txt,Final delivery supporting note or index.,Report writing and traceability.,Maintained manually or generated by final scripts.,
notebook_evidence,notebooks/EDA/FD003/03_eda_fd003_patrones_degradacion.ipynb,Notebook evidence for model development or final reporting.,Experimental traceability.,Not executed for final smoke test.,Outputs intentionally preserved.
notebook_evidence,notebooks/EDA/FD004/05_eda_fd004_conditions_fault_patterns.ipynb,Notebook evidence for model development or final reporting.,Experimental traceability.,Not executed for final smoke test.,Outputs intentionally preserved.
notebook_evidence,notebooks/FD001/modeling/14_fd001_official_test_final_once.ipynb,Notebook evidence for model development or final reporting.,Experimental traceability.,Not executed for final smoke test.,Outputs intentionally preserved.
notebook_evidence,notebooks/FD001/modeling/18_fd001_lgbm_final_search_and_robustness.ipynb,Notebook evidence for model development or final reporting.,Experimental traceability.,Not executed for final smoke test.,Outputs intentionally preserved.
notebook_evidence,notebooks/FD002/modeling/01_fd002_model_selection_and_hyperparam_search.ipynb,Notebook evidence for model development or final reporting.,Experimental traceability.,Not executed for final smoke test.,Outputs intentionally preserved.
